BreedName,AltBreedName,Group1,Group2,MaleWtKg,Temperment,AvgPupPrice,Intelligence,Watchdog,MalaysiaGuardedDog,MalaysiaProhibitedDog,MalaysiaPopularity,PopularityUS2017
Skye_terrier,,Terrier,Terrier,17,"Loyal, Fearless, Friendly, Good-tempered, Intelligent",800,55,4,,,,172
Sloughi,,Hound,Sight,28,"Alert, Faithful, Intelligent, Sensitive, Independent, Playful, Sweet",900,,5,,,,188
Smooth_fox_terrier,,Terrier,Terrier,8,"Active, Affectionate, Alert, Fearless, Intelligent, Playful",850,40,3,,,,122
South_russian_ovtcharka,,Herding,Herding,49,"Active, Balanced, Courageous, Lively, Nervous",900,,4,,,,
Spaniel,,Sporting,Gun,10,"Even Tempered, Joyful, Merry, Outgoing, Intelligent, Sociable, Trusting",700,20,3,,,,29
Spitz,,Non Sporting,Northern,8,"Alert, Energetic, Friendly, Independent, Intelligent, Protective",700,,4,,,,118
Staffordshire_bull_terrier,Staffordshire Bullterrier,Terrier,Terrier,14,"Affectionate, Bold, Courageous, Fearless, Intelligent, Reliable",1750,49,3,,1,,82
Sussex_spaniel,,Sporting,Gun,19,"Calm, Cheerful, Companionable, Devoted, Friendly, Sociable",2500,,3,,,,161
Swedish_vallhund,,Herding,Herding,13,"Alert, Energetic, Fearless, Friendly, Watchful",800,,4,,,,149
Terrier,,Terrier,Terrier,8,"Affectionate, Alert, Courageous, Intelligent, Friendly, Hardy, Independent",1050,47,3,,,,42
Thai_ridgeback,,Hound,Sight,28,"Familial, Independent, Loving, Loyal, Protective",700,,2,,,,
Tibetan_mastiff,,Working,Guardian,71,"Aloof, Protective, Strong-willed, Stubborn, Courageous, Loyal",3000,,6,,,,153
Tibetan_spaniel,,Non Sporting,Companion,6,"Intelligent, Assertive, Aloof, Happy, Independent, Willful",900,46,4,,,,121
Tibetan_terrier,,Non Sporting,Companion,10,"Affectionate, Amiable, Energetic, Gentle, Reserved, Sensitive, Intelligent",1600,62,3,,,,101
Tosa_inu,,Working,Guardian,65,"Aggressive, Brave, Fearless, Intelligent, Sensitive, Suspicious",700,,6,,1,,
Toy_fox_terrier,Toy Terrier,Toy,Terrier,2,"Alert, Friendly, Intelligent, Loyal, Playful, Spirited",500,,2,,,,112
Treeing_walker_coonhound,Walker Hound,Hound,Scenthound,28,"Affectionate, Clever, Confident, Loving, Trainable",500,,3,,,,131
Vizsla,,Sporting,Gun,21,"Affectionate, Cheerful, Energetic, Gentle, Intelligent, Playful, Protective, Quiet",1000,,3,,,,30
Weimaraner,,Sporting,Gun,29,"Alert, Aloof, Energetic, Fast, Intelligent, Powerful, Steady, Stubborn, Social",1750,21,3,,,,34
Welsh_corgi,,Herding,Herding,13,"Active, Affectionate, Alert, Companionable, Devoted, Gentle, Intelligent",1100,26,4,,,,68
Cardigan_welsh_corgi,,Herding,Herding,16,"Active, Affectionate, Alert, Companionable, Devoted, Gentle, Intelligent",1100,26,4,,,,68
Pembroke_welsh_corgi,,Herding,Herding,12,"Active, Affectionate, Alert, Companionable, Devoted, Gentle, Intelligent",1100,26,4,,,,68
Welsh_springer_spaniel,,Sporting,Gun,18,"Affectionate, Loyal, Active, Friendly, Playful, Stubborn, Intelligent",1300,31,4,,,,133
Welsh_terrier,,Terrier,Terrier,9,"Alert, Friendly, Intelligent, Spirited, Independent, Loving",1000,53,3,,,,109
West_highland_white_terrier_westie,West Highland White Terrier,Terrier,Terrier,8,"Affectionate, Alert, Courageous, Intelligent, Friendly, Hardy, Independent",1050,47,3,,,,42
Wheaten_terrier,Soft Coated Wheaten Terrier,Terrier,Terrier,18,"Affectionate, Energetic, Faithful, Intelligent, Playful, Spirited",900,40,4,,,,49
Whippet,,Hound,Sight,16,"Affectionate, Friendly, Gentle, Intelligent, Lively, Quiet",1000,51,3,,,,61
White_german_shepherd,,Herding,Herding,35,"Alert, Confident, Courageous, Curious, Intelligent, Loyal, Obedient, Watchful",1400,3,6,,,,2
Wire_fox_terrier,Wire Haired Fox Terrier,Terrier,Terrier,7,"Alert, Bold, Fearless, Friendly, Keen, Quick, Intelligent",900,51,3,,,,99
Wirehaired_pointing_griffon,,Sporting,Gun,25,"Gentle, Loyal, Proud, Trainable, Vigilant, Intelligent",700,46,5,,,,65
Wirehaired_terrier,,Terrier,Terrier,7,"Alert, Bold, Fearless, Friendly, Keen, Quick, Intelligent",900,51,3,,,,99
Xoloitzcuintli,Mexican Hairless,Non Sporting,Sight,11,"Aleret, Calm, Cheerful, Companionable, Loyal, Protective",700,,3,,,,143
Yellow_labrador_retriever,,Sporting,Gun,32,"Affectionate, Alert, Cheerful, Energetic, Friendly, Gentle, Intelligent, Loving, Loyal, Outgoing, Playful, Responsive, Social",1500,7,3,,,,1
Yorkshire_terrier_yorkie,Yorkshire Terrier,Toy,Companion,3,"Alert, Courageous, Energetic, Independent, Intelligent, Loyal, Playful",800,27,3,,,,9
Mixed Breed,,,,,,,,,,,,
